id,task_id,meeting_date,status,mh_incurred_hours,remarks,critical_issue,has_issue,deadline_date,correction_reason,is_deleted,deleted_at,deleted_by,version,supervisor_updated_at,last_updated_at,last_updated_by,created_at
1,101,2026-02-23,NOT_STARTED,0.00,Released to shop,,0,,,0,,,1,2026-02-23T11:00:00+00:00,2026-02-23T13:00:00+00:00,2,2026-02-23T09:00:00+00:00
2,101,2026-03-02,IN_PROGRESS,1.40,Initial strip complete,,0,,,0,,,2,2026-03-02T14:00:00+00:00,2026-03-02T13:00:00+00:00,3,2026-03-02T09:00:00+00:00
3,101,2026-03-09,IN_PROGRESS,3.20,Closing remaining punch items,,0,,,0,,,3,2026-03-09T16:00:00+00:00,2026-03-09T13:00:00+00:00,3,2026-03-09T09:00:00+00:00
4,101,2026-03-16,COMPLETED,4.00,Closed during weekly review,,0,,,0,,,3,2026-03-16T21:00:00+00:00,2026-03-16T13:00:00+00:00,2,2026-03-16T09:00:00+00:00
5,102,2026-02-23,NOT_STARTED,0.00,Awaiting slot,,0,,,0,,,1,2026-02-23T12:00:00+00:00,2026-02-23T13:00:00+00:00,2,2026-02-23T09:00:00+00:00
6,102,2026-03-02,IN_PROGRESS,1.20,Task started,,0,,,0,,,2,2026-03-02T15:00:00+00:00,2026-03-02T13:00:00+00:00,4,2026-03-02T09:00:00+00:00
7,102,2026-03-09,IN_PROGRESS,2.10,Steady progress,,0,,,0,,,3,2026-03-09T15:00:00+00:00,2026-03-09T13:00:00+00:00,4,2026-03-09T09:00:00+00:00
8,102,2026-03-16,IN_PROGRESS,2.70,Progressing to plan,,0,,,0,,,4,2026-03-16T19:00:00+00:00,2026-03-16T13:00:00+00:00,4,2026-03-16T09:00:00+00:00
9,103,2026-03-16,NOT_STARTED,0.00,Newly distributed - awaiting first supervisor update,,0,,,0,,,1,,2026-03-16T13:00:00+00:00,16,2026-03-16T09:00:00+00:00
10,104,2026-02-23,NOT_STARTED,0.00,Released,,0,,,0,,,1,2026-02-23T11:00:00+00:00,2026-02-23T13:00:00+00:00,2,2026-02-23T09:00:00+00:00
11,104,2026-03-02,IN_PROGRESS,0.75,Opened work scope,,0,,,0,,,2,2026-03-02T14:00:00+00:00,2026-03-02T13:00:00+00:00,3,2026-03-02T09:00:00+00:00
12,104,2026-03-09,WAITING,1.50,Blocked by dependency,Awaiting structures sign-off,1,,,0,,,3,2026-03-09T15:00:00+00:00,2026-03-09T13:00:00+00:00,2,2026-03-09T09:00:00+00:00
13,104,2026-03-16,WAITING,1.80,Blocked pending external action,Awaiting structures sign-off,1,2026-03-15,,0,,,4,2026-03-12T03:00:00+00:00,2026-03-16T13:00:00+00:00,2,2026-03-16T09:00:00+00:00
14,105,2026-02-23,NOT_STARTED,0.00,Not released,,0,,,0,,,1,2026-02-23T11:00:00+00:00,2026-02-23T13:00:00+00:00,2,2026-02-23T09:00:00+00:00
15,105,2026-03-02,NOT_STARTED,0.00,Pending material,,0,,,0,,,1,2026-03-02T13:00:00+00:00,2026-03-02T13:00:00+00:00,2,2026-03-02T09:00:00+00:00
16,105,2026-03-09,NOT_STARTED,0.00,Queued,,0,,,0,,,1,2026-03-09T15:00:00+00:00,2026-03-09T13:00:00+00:00,2,2026-03-09T09:00:00+00:00
17,105,2026-03-16,NOT_STARTED,0.00,Queued for upcoming work window,,0,,,0,,,1,2026-03-16T17:00:00+00:00,2026-03-16T13:00:00+00:00,2,2026-03-16T09:00:00+00:00
18,106,2026-02-23,NOT_STARTED,0.00,Released to shop,,0,,,0,,,1,2026-02-23T11:00:00+00:00,2026-02-23T13:00:00+00:00,2,2026-02-23T09:00:00+00:00
19,106,2026-03-02,IN_PROGRESS,1.57,Initial strip complete,,0,,,0,,,2,2026-03-02T14:00:00+00:00,2026-03-02T13:00:00+00:00,4,2026-03-02T09:00:00+00:00
20,106,2026-03-09,IN_PROGRESS,3.60,Closing remaining punch items,,0,,,0,,,3,2026-03-09T16:00:00+00:00,2026-03-09T13:00:00+00:00,4,2026-03-09T09:00:00+00:00
21,106,2026-03-16,COMPLETED,4.27,Closed during weekly review,,0,,Final MH adjusted after admin review,0,,,4,2026-03-16T21:00:00+00:00,2026-03-16T13:00:00+00:00,16,2026-03-16T09:00:00+00:00
22,201,2026-02-23,NOT_STARTED,0.00,Released,,0,,,0,,,1,2026-02-23T11:00:00+00:00,2026-02-23T13:00:00+00:00,6,2026-02-23T09:00:00+00:00
23,201,2026-03-02,IN_PROGRESS,7.00,Opened work scope,,0,,,0,,,2,2026-03-02T14:00:00+00:00,2026-03-02T13:00:00+00:00,7,2026-03-02T09:00:00+00:00
24,201,2026-03-09,WAITING,14.00,Blocked by dependency,Awaiting NDT clearance,1,,,0,,,3,2026-03-09T15:00:00+00:00,2026-03-09T13:00:00+00:00,6,2026-03-09T09:00:00+00:00
25,201,2026-03-16,WAITING,16.80,Blocked pending external action,Awaiting NDT clearance,1,2026-03-14,,0,,,4,2026-03-12T03:00:00+00:00,2026-03-16T13:00:00+00:00,6,2026-03-16T09:00:00+00:00
26,202,2026-02-23,NOT_STARTED,0.00,Released to shop,,0,,,0,,,1,2026-02-23T11:00:00+00:00,2026-02-23T13:00:00+00:00,6,2026-02-23T09:00:00+00:00
27,202,2026-03-02,IN_PROGRESS,5.60,Initial strip complete,,0,,,0,,,2,2026-03-02T14:00:00+00:00,2026-03-02T13:00:00+00:00,20,2026-03-02T09:00:00+00:00
28,202,2026-03-09,IN_PROGRESS,12.80,Closing remaining punch items,,0,,,0,,,3,2026-03-09T16:00:00+00:00,2026-03-09T13:00:00+00:00,20,2026-03-09T09:00:00+00:00
29,202,2026-03-16,COMPLETED,16.00,Closed during weekly review,,0,,,0,,,3,2026-03-16T21:00:00+00:00,2026-03-16T13:00:00+00:00,6,2026-03-16T09:00:00+00:00
30,203,2026-02-23,NOT_STARTED,0.00,Awaiting slot,,0,,,0,,,1,2026-02-23T12:00:00+00:00,2026-02-23T13:00:00+00:00,6,2026-02-23T09:00:00+00:00
31,203,2026-03-02,IN_PROGRESS,2.80,Task started,,0,,,0,,,2,2026-03-02T15:00:00+00:00,2026-03-02T13:00:00+00:00,19,2026-03-02T09:00:00+00:00
32,203,2026-03-09,IN_PROGRESS,4.90,Steady progress,,0,,,0,,,3,2026-03-09T15:00:00+00:00,2026-03-09T13:00:00+00:00,19,2026-03-09T09:00:00+00:00
33,203,2026-03-16,IN_PROGRESS,6.30,Progressing to plan,,0,2026-03-19,,0,,,4,2026-03-16T19:00:00+00:00,2026-03-16T13:00:00+00:00,19,2026-03-16T09:00:00+00:00
34,204,2026-02-23,NOT_STARTED,0.00,Released,,0,,,0,,,1,2026-02-23T11:00:00+00:00,2026-02-23T13:00:00+00:00,6,2026-02-23T09:00:00+00:00
35,204,2026-03-02,IN_PROGRESS,2.70,Began work,,0,,,0,,,2,2026-03-02T14:00:00+00:00,2026-03-02T13:00:00+00:00,7,2026-03-02T09:00:00+00:00
36,204,2026-03-09,IN_PROGRESS,4.50,Awaiting fresh feedback,,0,,,0,,,3,2026-03-09T17:00:00+00:00,2026-03-09T13:00:00+00:00,7,2026-03-09T09:00:00+00:00
37,204,2026-03-16,IN_PROGRESS,6.30,No update received in last 72h,,0,2026-03-15,,0,,,4,2026-03-11T19:00:00+00:00,2026-03-16T13:00:00+00:00,7,2026-03-16T09:00:00+00:00
38,205,2026-02-23,NOT_STARTED,0.00,Released,,0,,,0,,,1,2026-02-23T11:00:00+00:00,2026-02-23T13:00:00+00:00,6,2026-02-23T09:00:00+00:00
39,205,2026-03-02,IN_PROGRESS,3.00,Opened work scope,,0,,,0,,,2,2026-03-02T14:00:00+00:00,2026-03-02T13:00:00+00:00,8,2026-03-02T09:00:00+00:00
40,205,2026-03-09,WAITING,6.00,Blocked by dependency,Engineering disposition pending,1,,,0,,,3,2026-03-09T15:00:00+00:00,2026-03-09T13:00:00+00:00,6,2026-03-09T09:00:00+00:00
41,205,2026-03-16,WAITING,7.20,Blocked pending external action,Engineering disposition pending,1,2026-03-18,,0,,,4,2026-03-12T03:00:00+00:00,2026-03-16T13:00:00+00:00,6,2026-03-16T09:00:00+00:00
42,206,2026-02-23,NOT_STARTED,0.00,Released to shop,,0,,,0,,,1,2026-02-23T11:00:00+00:00,2026-02-23T13:00:00+00:00,6,2026-02-23T09:00:00+00:00
43,206,2026-03-02,IN_PROGRESS,3.50,Initial strip complete,,0,,,0,,,2,2026-03-02T14:00:00+00:00,2026-03-02T13:00:00+00:00,20,2026-03-02T09:00:00+00:00
44,206,2026-03-09,IN_PROGRESS,8.00,Closing remaining punch items,,0,,,0,,,3,2026-03-09T16:00:00+00:00,2026-03-09T13:00:00+00:00,20,2026-03-09T09:00:00+00:00
45,206,2026-03-16,COMPLETED,10.00,Closed during weekly review,,0,,,0,,,3,2026-03-16T21:00:00+00:00,2026-03-16T13:00:00+00:00,6,2026-03-16T09:00:00+00:00
46,207,2026-02-23,NOT_STARTED,0.00,Awaiting slot,,0,,,0,,,1,2026-02-23T12:00:00+00:00,2026-02-23T13:00:00+00:00,6,2026-02-23T09:00:00+00:00
47,207,2026-03-02,IN_PROGRESS,1.80,Task started,,0,,,0,,,2,2026-03-02T15:00:00+00:00,2026-03-02T13:00:00+00:00,7,2026-03-02T09:00:00+00:00
48,207,2026-03-09,IN_PROGRESS,3.15,Steady progress,,0,,,0,,,3,2026-03-09T15:00:00+00:00,2026-03-09T13:00:00+00:00,7,2026-03-09T09:00:00+00:00
49,207,2026-03-16,IN_PROGRESS,4.05,Progressing to plan,,0,2026-03-20,,0,,,4,2026-03-16T19:00:00+00:00,2026-03-16T13:00:00+00:00,7,2026-03-16T09:00:00+00:00
50,208,2026-02-23,NOT_STARTED,0.00,Released to shop,,0,,,0,,,1,2026-02-23T11:00:00+00:00,2026-02-23T13:00:00+00:00,6,2026-02-23T09:00:00+00:00
51,208,2026-03-02,IN_PROGRESS,7.70,Initial strip complete,,0,,,0,,,2,2026-03-02T14:00:00+00:00,2026-03-02T13:00:00+00:00,8,2026-03-02T09:00:00+00:00
52,208,2026-03-09,IN_PROGRESS,17.60,Closing remaining punch items,,0,,,0,,,3,2026-03-09T16:00:00+00:00,2026-03-09T13:00:00+00:00,8,2026-03-09T09:00:00+00:00
53,208,2026-03-16,COMPLETED,22.00,Closed during weekly review,,0,,,0,,,3,2026-03-16T21:00:00+00:00,2026-03-16T13:00:00+00:00,6,2026-03-16T09:00:00+00:00
54,209,2026-03-16,COMPLETED,7.00,Snapshot soft-deleted after task deactivation,,0,,,1,2026-03-17T09:00:00+00:00,16,2,2026-03-16T11:00:00+00:00,2026-03-16T13:00:00+00:00,6,2026-03-16T09:00:00+00:00
55,210,2026-03-02,NOT_STARTED,0.00,Created,,0,,,0,,,1,2026-03-02T14:00:00+00:00,2026-03-02T13:00:00+00:00,6,2026-03-02T09:00:00+00:00
56,210,2026-03-09,IN_PROGRESS,0.60,Picked up temporarily,,0,,,0,,,2,2026-03-09T16:00:00+00:00,2026-03-09T13:00:00+00:00,6,2026-03-09T09:00:00+00:00
57,210,2026-03-16,IN_PROGRESS,1.20,Awaiting formal worker allocation,,0,2026-03-21,,0,,,3,2026-03-16T19:00:00+00:00,2026-03-16T13:00:00+00:00,6,2026-03-16T09:00:00+00:00
58,211,2026-03-16,NOT_STARTED,0.00,Newly distributed - awaiting first supervisor update,,0,2026-03-23,,0,,,1,,2026-03-16T13:00:00+00:00,16,2026-03-16T09:00:00+00:00
59,212,2026-02-23,NOT_STARTED,0.00,Not released,,0,,,0,,,1,2026-02-23T11:00:00+00:00,2026-02-23T13:00:00+00:00,6,2026-02-23T09:00:00+00:00
60,212,2026-03-02,NOT_STARTED,0.00,Pending material,,0,,,0,,,1,2026-03-02T13:00:00+00:00,2026-03-02T13:00:00+00:00,6,2026-03-02T09:00:00+00:00
61,212,2026-03-09,NOT_STARTED,0.00,Queued,,0,,,0,,,1,2026-03-09T15:00:00+00:00,2026-03-09T13:00:00+00:00,6,2026-03-09T09:00:00+00:00
62,212,2026-03-16,NOT_STARTED,0.00,Queued for upcoming work window,,0,2026-03-22,,0,,,1,2026-03-16T17:00:00+00:00,2026-03-16T13:00:00+00:00,6,2026-03-16T09:00:00+00:00
63,213,2026-02-23,NOT_STARTED,0.00,Awaiting slot,,0,,,0,,,1,2026-02-23T12:00:00+00:00,2026-02-23T13:00:00+00:00,6,2026-02-23T09:00:00+00:00
64,213,2026-03-02,IN_PROGRESS,2.60,Task started,,0,,,0,,,2,2026-03-02T15:00:00+00:00,2026-03-02T13:00:00+00:00,19,2026-03-02T09:00:00+00:00
65,213,2026-03-09,IN_PROGRESS,4.55,Steady progress,,0,,,0,,,3,2026-03-09T15:00:00+00:00,2026-03-09T13:00:00+00:00,19,2026-03-09T09:00:00+00:00
66,213,2026-03-16,IN_PROGRESS,5.85,Progressing to plan,,0,2026-03-17,,0,,,4,2026-03-16T19:00:00+00:00,2026-03-16T13:00:00+00:00,19,2026-03-16T09:00:00+00:00
67,214,2026-03-16,NOT_STARTED,0.00,Newly distributed - awaiting first supervisor update,,0,2026-03-24,,0,,,1,,2026-03-16T13:00:00+00:00,16,2026-03-16T09:00:00+00:00
68,215,2026-02-23,NOT_STARTED,0.00,Released to shop,,0,,,0,,,1,2026-02-23T11:00:00+00:00,2026-02-23T13:00:00+00:00,6,2026-02-23T09:00:00+00:00
69,215,2026-03-02,IN_PROGRESS,2.62,Initial strip complete,,0,,,0,,,2,2026-03-02T14:00:00+00:00,2026-03-02T13:00:00+00:00,7,2026-03-02T09:00:00+00:00
70,215,2026-03-09,IN_PROGRESS,6.00,Closing remaining punch items,,0,,,0,,,3,2026-03-09T16:00:00+00:00,2026-03-09T13:00:00+00:00,7,2026-03-09T09:00:00+00:00
71,215,2026-03-16,COMPLETED,7.50,Closed during weekly review,,0,,,0,,,3,2026-03-16T21:00:00+00:00,2026-03-16T13:00:00+00:00,6,2026-03-16T09:00:00+00:00
72,216,2026-03-02,NOT_STARTED,0.00,Created,,0,,,0,,,1,2026-03-02T14:00:00+00:00,2026-03-02T13:00:00+00:00,6,2026-03-02T09:00:00+00:00
73,216,2026-03-09,IN_PROGRESS,0.55,Picked up temporarily,,0,,,0,,,2,2026-03-09T16:00:00+00:00,2026-03-09T13:00:00+00:00,6,2026-03-09T09:00:00+00:00
74,216,2026-03-16,IN_PROGRESS,1.10,Awaiting formal worker allocation,,0,2026-03-26,,0,,,3,2026-03-16T19:00:00+00:00,2026-03-16T13:00:00+00:00,6,2026-03-16T09:00:00+00:00
75,217,2026-02-23,NOT_STARTED,0.00,Released,,0,,,0,,,1,2026-02-23T11:00:00+00:00,2026-02-23T13:00:00+00:00,6,2026-02-23T09:00:00+00:00
76,217,2026-03-02,IN_PROGRESS,2.25,Began work,,0,,,0,,,2,2026-03-02T14:00:00+00:00,2026-03-02T13:00:00+00:00,8,2026-03-02T09:00:00+00:00
77,217,2026-03-09,IN_PROGRESS,3.75,Awaiting fresh feedback,,0,,,0,,,3,2026-03-09T17:00:00+00:00,2026-03-09T13:00:00+00:00,8,2026-03-09T09:00:00+00:00
78,217,2026-03-16,IN_PROGRESS,5.25,No update received in last 72h,,0,2026-03-16,,0,,,4,2026-03-11T19:00:00+00:00,2026-03-16T13:00:00+00:00,8,2026-03-16T09:00:00+00:00
79,218,2026-02-23,NOT_STARTED,0.00,Not released,,0,,,0,,,1,2026-02-23T11:00:00+00:00,2026-02-23T13:00:00+00:00,6,2026-02-23T09:00:00+00:00
80,218,2026-03-02,NOT_STARTED,0.00,Pending material,,0,,,0,,,1,2026-03-02T13:00:00+00:00,2026-03-02T13:00:00+00:00,6,2026-03-02T09:00:00+00:00
81,218,2026-03-09,NOT_STARTED,0.00,Queued,,0,,,0,,,1,2026-03-09T15:00:00+00:00,2026-03-09T13:00:00+00:00,6,2026-03-09T09:00:00+00:00
82,218,2026-03-16,NOT_STARTED,0.00,Queued for upcoming work window,,0,2026-03-25,,0,,,1,2026-03-16T17:00:00+00:00,2026-03-16T13:00:00+00:00,6,2026-03-16T09:00:00+00:00
83,219,2026-02-23,NOT_STARTED,0.00,Released to shop,,0,,,0,,,1,2026-02-23T11:00:00+00:00,2026-02-23T13:00:00+00:00,6,2026-02-23T09:00:00+00:00
84,219,2026-03-02,IN_PROGRESS,3.32,Initial strip complete,,0,,,0,,,2,2026-03-02T14:00:00+00:00,2026-03-02T13:00:00+00:00,20,2026-03-02T09:00:00+00:00
85,219,2026-03-09,IN_PROGRESS,7.60,Closing remaining punch items,,0,,,0,,,3,2026-03-09T16:00:00+00:00,2026-03-09T13:00:00+00:00,20,2026-03-09T09:00:00+00:00
86,219,2026-03-16,COMPLETED,9.50,Closed during weekly review,,0,,,0,,,3,2026-03-16T21:00:00+00:00,2026-03-16T13:00:00+00:00,6,2026-03-16T09:00:00+00:00
87,220,2026-02-23,NOT_STARTED,0.00,Released,,0,,,0,,,1,2026-02-23T11:00:00+00:00,2026-02-23T13:00:00+00:00,6,2026-02-23T09:00:00+00:00
88,220,2026-03-02,IN_PROGRESS,2.12,Opened work scope,,0,,,0,,,2,2026-03-02T14:00:00+00:00,2026-03-02T13:00:00+00:00,7,2026-03-02T09:00:00+00:00
89,220,2026-03-09,WAITING,4.25,Blocked by dependency,Parts quarantine awaiting QA,1,,,0,,,3,2026-03-09T15:00:00+00:00,2026-03-09T13:00:00+00:00,6,2026-03-09T09:00:00+00:00
90,220,2026-03-16,WAITING,5.10,Blocked pending external action,Parts quarantine awaiting QA,1,2026-03-17,,0,,,4,2026-03-12T03:00:00+00:00,2026-03-16T13:00:00+00:00,6,2026-03-16T09:00:00+00:00
91,221,2026-03-16,NOT_STARTED,0.00,Newly distributed - awaiting first supervisor update,,0,2026-03-27,,0,,,1,,2026-03-16T13:00:00+00:00,16,2026-03-16T09:00:00+00:00
92,301,2026-02-23,NOT_STARTED,0.00,Released to shop,,0,,,0,,,1,2026-02-23T11:00:00+00:00,2026-02-23T13:00:00+00:00,9,2026-02-23T09:00:00+00:00
93,301,2026-03-02,IN_PROGRESS,3.50,Initial strip complete,,0,,,0,,,2,2026-03-02T14:00:00+00:00,2026-03-02T13:00:00+00:00,10,2026-03-02T09:00:00+00:00
94,301,2026-03-09,IN_PROGRESS,8.00,Closing remaining punch items,,0,,,0,,,3,2026-03-09T16:00:00+00:00,2026-03-09T13:00:00+00:00,10,2026-03-09T09:00:00+00:00
